,Unnamed: 0.1,id_number,date,timedate,end_time,pressure,altitude,temperature,rh,windspeed,lat,lon,abslon
0,0,200227a8,2/27/20 0:00,2/27/20 8:47,2/27/20 8:55,1021.76,11.51,24.09,67.69,6,21.4011,-157.7123,157.7123
1,1,200227a1,2/27/20 0:00,2/27/20 8:12,2/27/20 8:20,1022.81,4.54,23.86,73.18,6.8,21.3935,-157.7163,157.7163
2,2,200227a6,2/27/20 0:00,2/27/20 8:19,2/27/20 8:27,1030.33,9.51,24.02,70.28,6.5,21.3967,-157.7146,157.7146
3,3,190930a2,9/30/19 0:00,9/30/19 7:15,9/30/19 7:20,1024.54,8,27.06,82.26,4.7,21.4007,-157.7145,157.7145
4,4,191004a5,10/4/19 0:00,10/4/19 8:08,10/4/19 8:14,1014.53,13,27.98,71.58,5.6,21.3947,-157.7155,157.7155
5,5,190930a5,9/30/19 0:00,9/30/19 8:15,9/30/19 8:23,1012.91,10,29.15,70.61,3.6,21.3949,-157.7146,157.7146
6,6,191004a2,10/4/19 0:00,10/4/19 7:25,10/4/19 7:31,1014.46,11,27.09,75.3,4.7,21.3998,-157.7111,157.7111
7,7,200227a7,2/27/20 0:00,2/27/20 8:51,2/27/20 8:59,1021.76,4.54,24.09,67.69,6,21.3935,-157.7163,157.7163
8,8,200227a9,2/27/20 0:00,2/27/20 8:39,2/27/20 8:47,1030.23,9.51,24.51,70.93,6,21.4011,-157.7123,157.7123
9,9,190930a4,9/30/19 0:00,9/30/19 7:49,9/30/19 7:57,1024.12,8,29.29,74.18,4.1,21.3973,-157.7138,157.7138
10,10,191004a3,10/4/19 0:00,10/4/19 7:45,10/4/19 7:51,1014.46,13,28.01,72.13,5.1,21.3966,-157.7139,157.7139
11,11,190930a3,9/30/19 0:00,9/30/19 7:55,9/30/19 8:03,1012.72,10,28.74,70.82,4.1,21.3973,-157.7138,157.7138
12,12,191004a4,10/4/19 0:00,10/4/19 7:45,10/4/19 7:51,1014.46,13,28.01,72.13,5.1,21.3966,-157.7139,157.7139
13,13,200227a10,2/27/20 0:00,2/27/20 9:13,2/27/20 9:21,1022.34,4.54,25.01,65.15,6.3,21.3935,-157.7163,157.7163
14,14,190906a3,9/6/19 0:00,9/6/19 7:25,9/6/19 7:30,1014.8,13,27.81,78.4,4.4,21.3975,-157.7143,157.7143
15,15,190906a4,9/6/19 0:00,9/6/19 7:25,9/6/19 7:30,1014.8,11,27.81,78.4,4.4,21.3975,-157.7143,157.7143
16,16,200227a11,2/27/20 0:00,2/27/20 9:09,2/27/20 9:16,1022.34,11.51,25.01,65.15,6.3,21.3935,-157.7163,157.7163
17,17,190906a5,9/6/19 0:00,9/6/19 7:41,9/6/19 7:46,1014.69,13,28.24,75.47,4.2,21.3957,-157.7161,157.7161
18,18,190906a2,9/6/19 0:00,9/6/19 7:08,9/6/19 7:13,1014.66,11,27.8,77.02,3.8,21.4012,-157.7143,157.7143
19,19,190930a6,9/30/19 0:00,9/30/19 8:09,9/30/19 8:17,1024.31,8,29.6,73.81,3.6,21.3949,-157.7146,157.7146
20,20,191004a1,10/4/19 0:00,10/4/19 7:37,10/4/19 7:37,1016.01,13,27.66,76.43,4.7,21.3154,,157.6624
21,21,190930a1,9/30/19 0:00,9/30/19 7:21,9/30/19 7:26,1013.53,10,26.83,77.75,4.7,21.4007,-157.7145,157.7145
22,22,200227a5,2/27/20 0:00,2/27/20 8:28,2/27/20 8:36,1021.79,11.51,23.71,66.96,6.5,21.3967,-157.7146,157.7146
23,23,200227a2,2/27/20 0:00,2/27/20 8:08,2/27/20 8:16,1021.32,11.51,23.68,70.96,6.8,21.3999,-157.7127,157.7127
24,24,200227a3,2/27/20 0:00,2/27/20 7:59,2/27/20 8:08,1030.41,9.51,23.99,74.27,6.8,21.3999,-157.7127,157.7127
25,25,200227a4,2/27/20 0:00,2/27/20 8:32,2/27/20 8:40,1021.79,4.54,23.71,66.96,6.5,21.3154,,157.6624
26,26,190906a7,9/6/19 0:00,9/6/19 7:57,9/6/19 8:02,1014.62,13,28.95,73.69,4.3,21.3953,-157.7166,157.7166
27,27,200227a13,2/27/20 0:00,2/27/20 9:27,2/27/20 9:35,1022.17,4.54,24.92,67.34,6.6,21.3935,-157.7163,157.7163
28,28,200227a14,2/27/20 0:00,2/27/20 9:23,2/27/20 9:31,1022.17,11.51,24.92,67.34,6.6,21.3958,-157.7149,157.7149
29,29,190906a8,9/6/19 0:00,9/6/19 7:57,9/6/19 8:02,1014.62,11,28.95,73.69,4.3,21.3953,-157.7166,157.7166
30,30,200227a15,2/27/20 0:00,2/27/20 9:14,2/27/20 9:22,1030.45,9.51,25.38,70.4,6.6,21.3958,-157.7149,157.7149
31,31,200227a12,2/27/20 0:00,2/27/20 9:00,2/27/20 9:08,1030.51,9.51,25.66,68.61,6.3,21.3935,-157.7163,157.7163
32,32,181205a1,12/5/18 0:00,12/5/18 14:47,12/5/18 14:49,1006.22,78,298.7,70.75,9.7,21.3154,,157.6624
33,33,181205a2,12/5/18 0:00,12/5/18 15:05,12/5/18 15:07,1005.83,82,298.41,72.04,8.21,21.3154,,157.6624
34,34,181205a4,12/5/18 0:00,12/5/18 15:30,12/5/18 15:32,995.82,166,298.1,74.03,6.34,21.3154,,157.6624
35,35,181205a5,12/5/18 0:00,12/5/18 15:45,12/5/18 15:47,994.96,173,296.95,80.21,6.53,21.3154,,157.6624
36,36,181205a6,12/5/18 0:00,12/5/18 16:02,12/5/18 16:04,995.7,167,297.15,73.56,7.83,21.3154,,157.6624
37,37,181205a7,12/5/18 0:00,12/5/18 16:16,12/5/18 16:18,985.6,253,295.84,79.27,7.28,21.3154,,157.6624
38,38,181205a8,12/5/18 0:00,12/5/18 16:33,12/5/18 16:35,985.85,250,295.49,81.62,6.9,21.3154,,157.6624
39,39,190101a1,1/1/19 0:00,1/1/19 14:19,1/1/19 14:39,986.8,233,296,87.32,9.08,21.3154,,157.6624
40,40,190101a2,1/1/19 0:00,1/1/19 14:59,1/1/19 15:19,985.85,241,296.02,87.03,10.32,21.3154,,157.6624
41,41,190101a3,1/1/19 0:00,1/1/19 15:37,1/1/19 15:58,1003.97,88,297.39,80.98,8.41,21.3154,,157.6624
42,42,190101a4,1/1/19 0:00,1/1/19 14:19,1/1/19 14:40,996.42,156,298.92,73.01,8.58,21.3154,,157.6624
43,43,190413a1,4/13/19 0:00,4/13/19 10:42,4/13/19 10:52,967.95,449,295.18,74.62,8.05,21.3154,,157.6624
44,44,190413a2,4/13/19 0:00,4/13/19 11:53,4/13/19 12:03,984.68,305,296.31,83.5,9.48,21.3154,,157.6624
45,45,190413a3,4/13/19 0:00,4/13/19 10:42,4/13/19 10:52,989.68,275,297.04,66.96,7.51,21.3154,,157.6624
46,46,190413a4,4/13/19 0:00,4/13/19 11:17,4/13/19 11:27,988.6,284,297.05,73.05,7.54,21.3154,,157.6624
47,47,190413a5,4/13/19 0:00,4/13/19 11:53,4/13/19 12:03,968.53,456,293.58,90.94,10.04,21.3154,,157.6624
48,48,190413a6,4/13/19 0:00,4/13/19 10:42,4/13/19 10:52,1004.82,140,299.21,64.06,6.82,21.3154,,157.6624
49,49,190413a8,4/13/19 0:00,4/13/19 11:53,4/13/19 12:03,1002.9,156,298.68,71.31,8.61,21.3154,,157.6624
50,50,190423a1,4/23/19 0:00,4/23/19 10:22,4/23/19 10:32,986.14,286,298.5,69.01,9.21,21.3154,,157.6624
51,51,190423a2,4/23/19 0:00,4/23/19 10:57,4/23/19 11:06,985.29,293,298.34,70.65,8.32,21.3154,,157.6624
52,52,190423a3,4/23/19 0:00,4/23/19 9:45,4/23/19 9:55,969.86,441,295.47,76.89,9.6,21.3154,,157.6624
53,53,190423a4,4/23/19 0:00,4/23/19 10:24,4/23/19 10:34,969.6,443,295.59,76.33,9.8,21.3154,,157.6624
54,54,190423a5,4/23/19 0:00,4/23/19 10:58,4/23/19 11:08,969.02,448,295.5,77.46,8.84,21.3154,,157.6624
55,55,190423a7,4/23/19 0:00,4/23/19 10:23,4/23/19 10:33,1004.51,136,298.57,65.86,8.28,21.3154,,157.6624
56,56,190519a1,5/19/19 0:00,5/19/19 10:57,5/19/19 11:06,1015.73,42,301.46,72.95,5.04,21.3154,,157.6624
57,57,190519a2,5/19/19 0:00,5/19/19 11:35,5/19/19 11:45,1016.15,39,302.85,69.34,3.73,21.3154,,157.6624
58,58,190616a1,6/16/19 0:00,6/16/19 10:33,6/16/19 10:44,973.76,362,299.01,69.1,5.57,21.3154,,157.6624
59,59,190616a4,6/16/19 0:00,6/16/19 10:33,6/16/19 10:44,994.64,198,300.16,66.03,5.11,21.3154,,157.6624
